Data,Dia,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
26/05/2021,130,2911,17871,12002,1924,34434,15658,934,21634,24004,19791,70141,8942,11046,35474,9064,31057,10542,43448,7697,13064,5329,1236,51364,294,7147,177528,3542
27/05/2021,131,2703,14203,11907,1811,68204,15957,8956,24791,27524,19348,73272,19529,10874,35447,9065,29609,9403,48458,71709,1183,4121,1158,54243,32935,6548,172884,4113
28/05/2021,132,1908,14497,10065,2406,7163,18073,8543,218,34343,16643,59011,2277,9784,31544,13839,29342,9983,436,67159,16577,62,1684,57684,34873,4978,252091,4973
29/05/2021,133,2043,9558,6391,135,14981,26628,139,16188,185,10705,12705,17422,4025,1783,4367,14649,1318,14981,48884,4311,806,1155,26237,24963,1302,97535,749
30/05/2021,134,75,4566,450,53,947,4596,129,1307,1875,604,409,6456,188,1245,3144,7489,788,4409,422,1133,69,405,198,2406,750,10007,4
31/05/2021,135,2677,1012,8827,199,44391,16742,14259,15084,28091,28911,47143,15584,8473,23737,13419,29073,836,4941,42943,13931,4524,15,45115,31396,6585,163425,4003
01/06/2021,136,3279,11782,11376,2003,43333,1876,14176,20938,42006,55613,85234,10161,12639,31071,16657,43631,12218,66505,54645,16902,6358,1897,68342,35075,10251,196074,7099
02/06/2021,137,472,13822,19005,1367,43457,25162,14008,3045,3666,50621,120485,17944,14868,34593,19132,51839,13375,74762,54583,18864,10182,1575,7022,35301,12324,257902,9365
03/06/2021,138,1233,6779,16285,400,42686,17118,103,2992,8889,30945,23979,26982,587,12445,18946,22387,1044,12822,21501,3769,334,1107,16916,9942,3921,10818,3025
04/06/2021,139,2471,12812,14226,157,62455,16853,11717,27075,23015,38164,48526,25402,6379,18284,25114,3731,10602,40604,35335,805,7877,970,46307,22689,7607,125396,2801
05/06/2021,140,799,11985,9902,968,23195,12748,1634,15781,12326,20618,12141,12249,6352,5647,863,22287,9806,48961,34914,5455,4145,1122,32388,20201,4503,74564,636
06/06/2021,141,90,1993,26,1369,2543,7616,1598,210,1527,16189,991,2774,138,1567,489,5365,436,6829,283,4008,682,13,1319,3078,2101,7021,25
07/06/2021,142,3693,9991,4872,251,67429,17583,13826,19536,48733,47059,79108,13139,11386,25267,22885,51055,17187,82796,6168,17412,8798,1544,77757,36817,10016,176264,5477
08/06/2021,143,3807,10668,1376,279,63042,20859,8254,24758,60991,53754,102659,15514,16584,22663,20613,51351,17422,96105,62768,2357,10128,2305,85967,46051,11595,164491,7146
09/06/2021,144,4401,10327,14293,31,4765,2102,13927,27191,50895,70927,108347,9424,18813,29865,25179,50848,18316,86898,83889,18916,9182,1797,73233,46915,11014,171354,8109
10/06/2021,145,4349,15891,14994,3078,51597,27742,12579,25376,53812,61274,93632,24867,17661,32029,2915,4733,19067,79675,52686,18436,11106,2525,73484,43315,10684,185549,9939
11/06/2021,146,3563,15142,1651,6902,68339,25393,9673,26366,52651,4653,98039,22804,16802,31466,23803,44622,1901,80796,47973,16593,14198,2568,69093,44867,9909,270816,916
12/06/2021,147,2151,8706,64744,3021,25144,4078,3986,32804,20806,31537,27524,6934,12841,9807,4329,17562,13079,66563,43875,22151,2346,1102,59733,44365,8093,156007,279
13/06/2021,148,135,1822,80159,437,1306,10397,3833,715,1024,9372,659,1476,85,4109,724,7066,561,10694,154,4136,318,5,2731,9475,436,9573,28
14/06/2021,149,5351,10976,6727,3612,49889,20476,21892,20934,53406,50405,68018,7264,14192,35439,15728,468,17759,80277,58151,21792,6268,3132,86976,39396,10575,244747,7362
15/06/2021,150,4281,13586,19743,351,49844,21059,21342,22725,434,62323,76668,4289,14846,47522,14114,49398,25063,102523,64556,27315,11262,248,86269,4402,12304,283156,8517
16/06/2021,151,9032,1283,1428,4065,53374,24048,20439,2129,25713,55596,93303,3801,15316,65959,14361,42822,17592,115001,58318,30557,10202,3323,70866,3683,1174,466186,7827
