UF,Data,Quantidade
DF,08/04/2021,6188
DF,09/04/2021,11873
DF,10/04/2021,915
DF,11/04/2021,457
DF,12/04/2021,6798
DF,13/04/2021,8202
DF,14/04/2021,9307
DF,15/04/2021,14051
DF,16/04/2021,23628
DF,17/04/2021,10632
DF,18/04/2021,4014
DF,19/04/2021,22765
DF,20/04/2021,20439
DF,21/04/2021,1294
DF,22/04/2021,15796
DF,23/04/2021,32363
DF,24/04/2021,13048
DF,25/04/2021,4476
DF,26/04/2021,20453
DF,27/04/2021,13287
DF,28/04/2021,7993
DF,29/04/2021,5212
DF,30/04/2021,28286
DF,01/05/2021,7146
DF,02/05/2021,2627
DF,03/05/2021,16794
DF,04/05/2021,15275
DF,05/05/2021,12204
DF,06/05/2021,13744
DF,07/05/2021,11384
DF,08/05/2021,6607
DF,09/05/2021,2272
DF,10/05/2021,11194
DF,11/05/2021,932
DF,12/05/2021,5465
DF,13/05/2021,10967
DF,14/05/2021,10718
DF,15/05/2021,41
DF,16/05/2021,1903
DF,17/05/2021,6501
DF,18/05/2021,7034
DF,19/05/2021,8119
DF,20/05/2021,9368
DF,21/05/2021,9479
DF,22/05/2021,647
DF,23/05/2021,791
DF,24/05/2021,9228
DF,25/05/2021,6535
DF,26/05/2021,934
DF,27/05/2021,8956
